county_number,county_name,region,location1,location2
1,Alameda,3,Inland,North
2,Alpine,4,Inland,North
3,Amador,4,Inland,North
4,Butte,1,Inland,North
5,Calaveras,4,Inland,North
6,Colusa,1,Inland,North
7,Contra Costa,3,Inland,North
8,Del Norte,2,Inland,North
9,El Dorado,1,Inland,North
10,Fresno,6,Inland,North
11,Glenn,1,Inland,North
12,Humboldt,2,Inland,North
13,Imperial,10,Inland,North
14,Inyo,6,Inland,North
15,Kern,6,Inland,North
16,Kings,6,Inland,North
17,Lake,2,Inland,North
18,Lassen,1,Coastal,North
19,Los Angeles,8,Coastal,Southern
20,Madera,4,Coastal,North
21,Marin,3,Coastal,North
22,Mariposa,4,Coastal,North
23,Mendocino,2,Coastal,North
24,Merced,4,Coastal,North
25,Modoc,1,Coastal,North
26,Mono,4,Coastal,North
27,Monterey,5,Coastal,North
28,Napa,2,Coastal,North
29,Nevada,1,Coastal,North
30,Orange,9,Coastal,North
31,Placer,1,Coastal,North
32,Plumas,1,Inland,North
33,Riverside,7,Inland,North
34,Sacramento,1,Inland,North
35,San Benito,5,Inland,North
36,San Bernardino,7,Inland,North
37,San Diego,10,Inland,North
38,San Francisco,3,Inland,North
39,San Joaquin,4,Inland,North
40,San Luis Obispo,5,Inland,North
41,San Mateo,3,Inland,North
42,Santa Barbara,5,Coastal,North
43,Santa Clara,3,Coastal,North
44,Santa Cruz,5,Coastal,Central
45,Shasta,1,Coastal,Southern
46,Sierra,1,Coastal,Central
47,Siskiyou,1,Coastal,Southern
48,Solano,3,Inland,Central
49,Sonoma,2,Inland,Central
50,Stanislaus,4,Inland,Central
51,Sutter,1,Inland,Central
52,Tehama,1,Inland,Central
53,Trinity,2,Inland,Southern
54,Tulare,6,Inland,Southern
55,Tuolumne,4,Coastal,Southern
56,Ventura,5,Coastal,Southern
57,Yolo,1,Inland,Southern
58,Yuba,1,Coastal,Southern
