county_number,RegionName,region,location1,location2
1,Alameda County,3,Coastal,North
2,Alpine County,4,Inland,North
3,Amador County,4,Inland,North
4,Butte County,1,Inland,North
5,Calaveras County,4,Inland,North
6,Colusa County,1,Inland,North
7,Contra Costa County,3,Coastal,North
8,Del Norte County,2,Coastal,North
9,El Dorado County,1,Inland,North
10,Fresno County,6,Inland,Central
11,Glenn County,1,Inland,North
12,Humboldt County,2,Coastal,North
13,Imperial County,10,Inland,Southern
14,Inyo County,6,Inland,Central
15,Kern County,6,Inland,Central
16,Kings County,6,Inland,Central
17,Lake County,2,Coastal,North
18,Lassen County,1,Inland,North
19,Los Angeles County,8,Coastal,Southern
20,Madera County,4,Inland,North
21,Marin County,3,Coastal,North
22,Mariposa County,4,Inland,North
23,Mendocino County,2,Coastal,North
24,Merced County,4,Inland,North
25,Modoc County,1,Inland,North
26,Mono County,4,Inland,North
27,Monterey County,5,Coastal,North
28,Napa County,2,Coastal,North
29,Nevada County,1,Inland,North
30,Orange County,9,Coastal,Southern
31,Placer County,1,Inland,North
32,Plumas County,1,Inland,North
33,Riverside County,7,Inland,Southern
34,Sacramento County,1,Inland,North
35,San Benito County,5,Coastal,North
36,San Bernardino County,7,Inland,Southern
37,San Diego County,10,Coastal,Southern
38,San Francisco County,3,Coastal,North
39,San Joaquin County,4,Inland,North
40,San Luis Obispo County,5,Coastal,Central
41,San Mateo County,3,Coastal,North
42,Santa Barbara County,5,Coastal,Southern
43,Santa Clara County,3,Coastal,North
44,Santa Cruz County,5,Coastal,Central
45,Shasta County,1,Inland,North
46,Sierra County,1,Inland,North
47,Siskiyou County,1,Inland,North
48,Solano County,3,Coastal,North
49,Sonoma County,2,Coastal,North
50,Stanislaus County,4,Inland,North
51,Sutter County,1,Inland,North
52,Tehama County,1,Inland,North
53,Trinity County,2,Coastal,North
54,Tulare County,6,Inland,Central
55,Tuolumne County,4,Inland,North
56,Ventura County,5,Coastal,Southern
57,Yolo County,1,Inland,North
58,Yuba County,1,Inland,North
